Date,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Condition,Season,Month,Year,Energy_Demand_MWh
2020-01-01,-0.5,65.2,2.1,10.4,Snowy,Winter,January,2020,877.39
2020-01-02,-2.4,73.3,0.2,12.1,Snowy,Winter,January,2020,917.76
2020-01-03,-0.1,68.2,16.3,14.2,Rainy,Winter,January,2020,869.96
2020-01-04,2.6,70.4,5.5,14.739492242595203,Drizzle,Winter,January,2020,787.48
2020-01-05,-2.7,79.7,5.653808180535966,17.8,Snowy,Winter,January,2020,890.2
2020-01-06,-2.7,88.4,1.5,8.4,Snowy,Winter,January,2020,924.7
2020-01-07,2.7,78.2,4.7,14.5,Partly Cloudy,Winter,January,2020,820.99
2020-01-08,0.3,65.4,5.7,13.8,Drizzle,Winter,January,2020,861.97
2020-01-09,-3.4,78.6,1.9,9.1,Snowy,Winter,January,2020,941.08
2020-01-10,-0.4,84.6,9.4,14.5,Snowy,Winter,January,2020,875.71
2020-01-11,-15.2,70.1,14.7,13.5,Snowy,Winter,January,2020,1383.85
2020-01-12,-3.4,73.9,10.8,13.2,Snowy,Winter,January,2020,906.67
2020-01-13,-1.3,75.1,6.7,13.0,Snowy,Winter,January,2020,894.1
2020-01-14,-7.7,68.7,1.6,14.739492242595203,Snowy,Winter,January,2020,1056.6
2020-01-15,-7.2,80.2,1.7,13.2,Snowy,Winter,January,2020,1042.37
2020-01-16,15.139844851904092,74.0,16.5,15.2,Rainy,Winter,January,2020,577.24
2020-01-17,-5.0,78.4,0.1,14.7,Snowy,Winter,January,2020,980.93
2020-01-18,-1.1,67.9,6.3,12.5,Snowy,Winter,January,2020,855.55
2020-01-19,-4.7,71.5,6.1,15.4,Snowy,Winter,January,2020,938.76
2020-01-20,-6.2,80.8,4.9,15.3,Snowy,Winter,January,2020,1013.34
2020-01-21,2.4,72.0,23.1,15.4,Rainy,Winter,January,2020,825.38
2020-01-22,-2.7,88.8,1.9,10.7,Snowy,Winter,January,2020,924.91
2020-01-23,-1.8,71.8,2.1,14.0,Snowy,Winter,January,2020,904.6
2020-01-24,-6.3,76.8,0.4,18.8,Snowy,Winter,January,2020,1016.65
2020-01-25,-3.6,82.5,2.9,14.739492242595203,Snowy,Winter,January,2020,911.19
2020-01-26,-1.7,63.7,5.653808180535966,15.8,Snowy,Winter,January,2020,868.19
2020-01-27,-5.5,60.9,2.1,15.8,Snowy,Winter,January,2020,994.9
